he_backend,poly_modulus_degree,coeff_mod_bit_sizes,scale_bits,slots,enc_ms_per_client_round,agg_ms_per_round,dec_ms_per_round,cipher_bytes_per_client,plain_bytes_per_client,expansion_x,dataset,accuracy
tenseal,8192,"[60, 40, 40, 60]",40,4096,22.988624963909388,15.69497330735127,5.229473238190015,1337806,54844,24.392932681788345,edgeiiot,0.7325
tenseal,8192,"[60, 40, 40, 60]",40,4096,22.038468392565846,14.190786642332872,4.30535984536012,1336711,62668,21.330040850194678,keystroke,0.8919117647058824
tenseal,8192,"[60, 40, 40, 60]",40,4096,5.40232836889724,3.6068000520269075,1.1693799868226051,334384,12424,26.914359304571796,rba,0.8009670983667535
